AR_Ref,FA_CodeFamille,AR_Design,Colonne1, AR_PrixVen, Stock_TOTAL
CHACAN2LXE,CHAPPHOTO,CANON CHARGEUR NUMERIQUE 2LXE,CHARGEUR APPAREIL PHOTO,1500,18
CHASONBCCSX,CHAPPHOTO,SONY CHARGEUR NUMERIQUE BC-CSX,CHARGEUR APPAREIL PHOTO,1500,46
CHANIKMH64,CHAPPHOTO,NIKON CHARGEUR NUMERIQUE MH-64,CHARGEUR APPAREIL PHOTO,1500,10
CHACAN2LYE,CHAPPHOTO,CANON CHARGEUR NUMERIQUE 2LYE,CHARGEUR APPAREIL PHOTO,1500,105
CHACAN2LDC,CHAPPHOTO,CANON CHARGEUR NUMERIQUE 2LDC,CHARGEUR APPAREIL PHOTO,2500,32
CHACAN2LVE,CHAPPHOTO,CANON CHARGEUR NUMERIQUE 2LVE,CHARGEUR APPAREIL PHOTO,1500,8
DTAP168V20A,CHAPPHOTO,D-TAP CHARGEUR 16.8V2.0A pour batterie Sony V-Lock,CHARGEUR APPAREIL PHOTO,15000,18
12V4A,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 12V4A 4PIN,CHARGEUR ORDINATEUR PORTABLE,3000,50
12V4A5525,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 12V4A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,923
12V58A,CHAORDPOR,CHARGEUR ORDINATEUR 12V2.58A 3.4 DAI,CHARGEUR ORDINATEUR PORTABLE,5000,3
12V5A4PIN,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 12V5A 4PIN,CHARGEUR ORDINATEUR PORTABLE,5000,41
12V5A5525,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 12V5A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,497
12V6A5525,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 12V6A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,863
12V8A5525,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 12V8A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,257
24V05A,CHAORDPOR,CHARGEUR ORDINATEUR 24V0.5A POE 2PIN / 12W,CHARGEUR ORDINATEUR PORTABLE,5000,2
48V1A,CHAORDPOR,CHARGEUR INJECTEUR POE 48V1A 2PIN,CHARGEUR ORDINATEUR PORTABLE,5000,48
48V2A,CHAORDPOR,CHARGEUR ORDINATEUR  48V2A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,0
48V3A,CHAORDPOR,CHARGEUR ORDINATEUR  48V3A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,10000,47
48W12V4A,CHAORDPOR,HP CHARGEUR ORDINATEUR  SURFACE PRO 3 / PRO 2 12V4A 48W ORIGINAL,CHARGEUR ORDINATEUR PORTABLE,15000,43
525V3A,CHAORDPOR,CHARGEUR ORDINATEUR TYPE C 5.25V3A,CHARGEUR ORDINATEUR PORTABLE,-,0
AC12V10A,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 12V10A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,383
AC12V15A,CHAORDPOR,ACER CHARGEUR ORDINATEUR 12V1.5A 3.0*1.0 /W3-510 /A100/A101/A500,CHARGEUR ORDINATEUR PORTABLE,5000,130
AC12V15AA510,CHAORDPOR,ACER CHARGEUR ORDINATEUR 12V1.5A A510,CHARGEUR ORDINATEUR PORTABLE,5000,72
AC16V4A,CHAORDPOR,ACER CHARGEUR ORDINATEUR 16V4A 5.5*2.5MM,CHARGEUR ORDINATEUR PORTABLE,3000,27
AC195V77A,CHAORDPOR,AC ADAPTER CHARGEUR ORDINATEUR 19.5V7.7A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,10000,0
AC19V158A,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V1.58A 5.5*1.7MM,CHARGEUR ORDINATEUR PORTABLE,3000,55
AC19V215A,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V2.15A 5.5*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,200
AC19V237A,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V2.37A 3.0*1.0,CHARGEUR ORDINATEUR PORTABLE,3000,0
AC19V237A5517,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V2.37A 5.5*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,11
AC19V342A,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V3.42A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,0
AC19V342A3010,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V3.42A 3.0*1.0,CHARGEUR ORDINATEUR PORTABLE,3000,0
AC19V342A5517,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V3.42A 5.5*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,486
AC19V4474,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V4.74 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,9
AC19V474A,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V4.74A 5.5*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,509
AC19V71A,CHAORDPOR,ACER CHARGEUR ORDINATEUR 19V7.1A 5.5*1.7,CHARGEUR ORDINATEUR PORTABLE,10000,30
AC19V9235517OR,CHAORDPOR,ORIGINAL ACER CHARGEUR ORDINATEUR 19.5V9.23A 5.5*1.7,CHARGEUR ORDINATEUR PORTABLE,15000,50
AC24V3A,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 24V3A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,68
AC24V3A3PIN,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 24V3A 3PIN,CHARGEUR ORDINATEUR PORTABLE,5000,64
AC24V3ADC,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 24V3A 4PIN,CHARGEUR ORDINATEUR PORTABLE,5000,0
AC24V5A,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 24V5A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,7500,68
AC48V2A,CHAORDPOR,CHARGEUR ORDINATEUR POE  48V2A 2PIN,CHARGEUR ORDINATEUR PORTABLE,5000,0
AC5V4A,CHAORDPOR,UNIVERSAL CHARGEUR ORDINATEUR 5V4A 3.5*1.35,CHARGEUR ORDINATEUR PORTABLE,3000,480
ACAP24V1875A,CHAORDPOR,APPLE CHARGEUR MACBOOK AP 24V1.875A 7.7*2.5 /,CHARGEUR ORDINATEUR PORTABLE,3000,69
AP29W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE 29W TYPE-C,CHARGEUR ORDINATEUR PORTABLE,17500,53
AP30W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE 30W / USB-C / TYPE-C,CHARGEUR ORDINATEUR PORTABLE,17500,19
AP61W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE 61W / TYPE-C,CHARGEUR ORDINATEUR PORTABLE,17500,128
AP87W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE 87W / TYPE-C,CHARGEUR ORDINATEUR PORTABLE,17500,186
AP96W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE 96W / TYPE-C,CHARGEUR ORDINATEUR PORTABLE,20000,2
APSAFE145W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE1 45W / 14.5V3.1A L PIN,CHARGEUR ORDINATEUR PORTABLE,14000,183
APSAFE160W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE1 60W / 16.5V3.65A L PIN,CHARGEUR ORDINATEUR PORTABLE,14000,277
APSAFE185W,CHAORDPOR,APPLE CHARGEUR MACBOOK AC AP SAFE1 85W / 18.5V4.6A L PIN /,CHARGEUR ORDINATEUR PORTABLE,14000,91
APSAFE245W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE2 45W / 14.85V3.05A T PIN /,CHARGEUR ORDINATEUR PORTABLE,14000,16
APSAFE260W,CHAORDPOR,APPLE CHARGEUR MACBOOK AC AP SAFE2 60W / 16.5V3.65A T PIN,CHARGEUR ORDINATEUR PORTABLE,14000,336
APSAFE285W,CHAORDPOR,APPLE CHARGEUR MACBOOK AP SAFE2 85W / 20V4.25A T PIN,CHARGEUR ORDINATEUR PORTABLE,14000,106
AS12V3A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 12V3A 4.8*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,101
AS15V12,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 15V1.2A TF101,CHARGEUR ORDINATEUR PORTABLE,5000,79
AS15V12ATF600,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 15V1.2A TF600,CHARGEUR ORDINATEUR PORTABLE,5000,0
AS195V118A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19.5V11.8A  6.0*3.7,CHARGEUR ORDINATEUR PORTABLE,20000,32
AS195V2315,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19.5V2.315 A 4.8*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,0
AS195V77A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19.5V7.7A 6.3*3.7,CHARGEUR ORDINATEUR PORTABLE,15000,17
AS195V77A5525,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19.5V7.7A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,15000,55
AS195V923A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19.5V9.23A 6.0*3.7,CHARGEUR ORDINATEUR PORTABLE,20000,25
AS195V923A5525,CHAORDPOR,ORIGINAL ASUS CHARGEUR ORDINATEUR 19.5V9.23A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,20000,40
AS19V158A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V1.58A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,23
AS19V158A2507,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V1.58A 2.5*0.7,CHARGEUR ORDINATEUR PORTABLE,3000,25
AS19V175,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V1.75A USB / X205T,CHARGEUR ORDINATEUR PORTABLE,5000,59
AS19V17540135OR,CHAORDPOR,ORIGINAL ASUS  CHARGEUR ORDINATEUR 19V1.75A 4.0*1.35,CHARGEUR ORDINATEUR PORTABLE,7500,40
AS19V175A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V1.75A 4.0*1.35,CHARGEUR ORDINATEUR PORTABLE,3000,110
AS19V175A40135OR,CHAORDPOR,ORIGINAL ASUS CHARGEUR ORDI 19V1.75A 4.0*1.35 BLUE PACKING SQUARE /,CHARGEUR ORDINATEUR PORTABLE,5000,116
AS19V21A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V2.1A 2.5*0.7,CHARGEUR ORDINATEUR PORTABLE,3000,66
AS19V237,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V2.37A 3.0*1.0 T300 ASUS /+5V2A 10W,CHARGEUR ORDINATEUR PORTABLE,3000,83
AS19V237A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V2.37A 4.0*1.35,CHARGEUR ORDINATEUR PORTABLE,3000,1
AS19V237A40135OR,CHAORDPOR,ORIGINAL ASUS CHARGEUR ORDINATEUR 19V2.37A 4.0*1.35,CHARGEUR ORDINATEUR PORTABLE,5000,484
AS19V237A5.5,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V2.37A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,0
AS19V342,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V3.42A 4.0*1.35,CHARGEUR ORDINATEUR PORTABLE,3000,300
AS19V3425,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V3.42 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,150
AS19V342A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V3.42A 5.5*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,0
AS19V342A3010,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V3.42A 3.0*1.0,CHARGEUR ORDINATEUR PORTABLE,3000,4
AS19V342A4530,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V3.42A 4.5*3.0 BLACK,CHARGEUR ORDINATEUR PORTABLE,3000,178
AS19V342A5525OR,CHAORDPOR,ORIGINAL ASUS CHARGEUR ORDI 19V3.42 5.5*2.5 BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,7500,79
AS19V342AOR,CHAORDPOR,ORIGINAL ASUS  CHARGEUR ORDINATEUR 19V3.42A 5.5*2.5 packing bleu,CHARGEUR ORDINATEUR PORTABLE,5000,100
AS19V342ATX300,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V3.42A TX300,CHARGEUR ORDINATEUR PORTABLE,10000,95
AS19V474,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V4.74A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,0
AS19V632,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19.5V6.32A 6.0*3.7,CHARGEUR ORDINATEUR PORTABLE,15000,12
AS19V632A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V6.32A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,10000,24
AS19V632A4530,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 19V6.32A 4.5*3.0,CHARGEUR ORDINATEUR PORTABLE,10000,0
AS45W,CHAORDPOR,ASUS CHARGEUR ORD TYPE-C 45W / 20V3.25A /15V3A / 9V2A / 5V2A /,CHARGEUR ORDINATEUR PORTABLE,10000,93
AS65W,CHAORDPOR,ASUS CHARGEUR ORD TYPE-C 65W / 20V3.25A /15V3A / 9V2A / 5V2A /,CHARGEUR ORDINATEUR PORTABLE,10000,0
AS95V315A,CHAORDPOR,ASUS CHARGEUR ORDINATEUR 9.5V3.15A 4.8*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,3
CHAORD,CHAORDPOR,CHARGEUR ORDINATEUR,CHARGEUR ORDINATEUR PORTABLE,3000,0
CHAUNI,CHAORDPOR,CHARGEUR NOTEBOOK  ADAPTER  90W / CHARGEUR UNIVERSEL 90W,CHARGEUR ORDINATEUR PORTABLE,8000,55
DE130W,CHAORDPOR,DELL CHARGEUR ORDINATE TYPE-C 130W / 20V3.25A /15V3A / 9V2A / 5V2A /,CHARGEUR ORDINATEUR PORTABLE,20000,112
DE195V108A,CHAORDPOR,ORIGINAL DELL CHARGEUR ORDINATEUR 19.5V10.8A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,17500,22
DE195V118A,CHAORDPOR,ORIGINAL DELL CHARGEUR ORDINATEUR 19.5V11.8A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,17500,16
DE195V231,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V2.31A 4.5*3.0 BLACK,CHARGEUR ORDINATEUR PORTABLE,3000,216
DE195V231A4530OR,CHAORDPOR,ORIGINAL DELL  CHARGEUR  ORDI 19.5V2.31A 4.5*3.0 BLACK BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,10000,38
DE195V333SM,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V3.33A SMALL BULLET,CHARGEUR ORDINATEUR PORTABLE,2500,0
DE195V334,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V3.34A 4.5*3.0,CHARGEUR ORDINATEUR PORTABLE,3000,0
DE195V334A,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V3.34A 7.4*5.0 BIG SIZE,CHARGEUR ORDINATEUR PORTABLE,3000,276
DE195V334A4530OR,CHAORDPOR,ORIGINAL DELL CHARGEUR ORDI 19.5V3.34A 4.5*3.0 / 65W,CHARGEUR ORDINATEUR PORTABLE,10000,279
DE195V334ASMALL,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V3.34A SMALL BULLET,CHARGEUR ORDINATEUR PORTABLE,3000,0
DE195V462A,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V4.62A 7.4*5.0 / BIG SIZE,CHARGEUR ORDINATEUR PORTABLE,3500,1191
DE195V462A4530,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V4.62A 4.5*3.0 BLACK,CHARGEUR ORDINATEUR PORTABLE,3000,2
DE195V462A7450OR,CHAORDPOR,ORIGINAL DELL CHARGEUR ORDI 19.5V4.62A 7.4*5.0 BLUE PACKING / SLIM,CHARGEUR ORDINATEUR PORTABLE,6000,38
DE195V462SM,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V4.62A SMALL BULLET/4.5*3.0,CHARGEUR ORDINATEUR PORTABLE,3000,0
DE195V667,CHAORDPOR,ORIGINAL DELL CHARGEUR ORDINATEUR 19.5V6.67A 4.5*3.0 /130W,CHARGEUR ORDINATEUR PORTABLE,20000,40
DE195V67A,CHAORDPOR,ORIGINAL DELL CHARGEUR ORDINATEUR 19.5V6.7A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,10000,241
DE195V77A,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19.5V7.7 A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,10000,9
DE19V158A,CHAORDPOR,DELL CHARGEUR ORDINATEUR 19V1.58A 5.5*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,113
DE20V35A,CHAORDPOR,DELL CHARGEUR ORDINATEUR 20V3.5A,CHARGEUR ORDINATEUR PORTABLE,3000,61
DE45W,CHAORDPOR,DELL CHARGEUR ORDINATEU TYPE-C 45W / 20V3.25A /15V3A / 9V2A / 5V2A /,CHARGEUR ORDINATEUR PORTABLE,12500,18
DE65W,CHAORDPOR,DELL CHARGEUR ORDINATEU TYPE-C 65W / 20V3.25A /15V3A / 9V2A / 5V2A /,CHARGEUR ORDINATEUR PORTABLE,15000,13
DE90W,CHAORDPOR,ORIGINAL DELL CHARGEUR ORD TYPE-C 90W,CHARGEUR ORDINATEUR PORTABLE,15000,9
H195V923A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V9.23A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,10000,233
H525V3AV8,CHAORDPOR,H CHARGEUR ORDINATEUR H5.25V3A V8,CHARGEUR ORDINATEUR PORTABLE,5000,0
HP185V357450,CHAORDPOR,HP CHARGEUR ORDINATEUR 18.5V3.5A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,3000,0
HP185V35A,CHAORDPOR,HP CHARGEUR ORDINATEUR 18.5V3.5A  4.8*1.7 JAUNE,CHARGEUR ORDINATEUR PORTABLE,3000,874
HP185V65A,CHAORDPOR,HP CHARGEUR ORDINATEUR 18.5V6.5A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,27
HP185V65A7,CHAORDPOR,HP CHARGEUR ORDINATEUR 18.5V6.5A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,10000,15
HP195V1034530OR,CHAORDPOR,ORIGINAL HP CHARGEUR ORDINATEUR 19.5V10.3A 4.5*3.0,CHARGEUR ORDINATEUR PORTABLE,20000,83
HP195V118A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V11.8A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,40000,60
HP195V205A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V2.05A 4.0*1.7 / 4.8*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,79
HP195V205SM,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V2.05A SMALL BULLET,CHARGEUR ORDINATEUR PORTABLE,3000,7
HP195V231,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V2.31A 4.5*3.0 BLEU,CHARGEUR ORDINATEUR PORTABLE,3000,0
HP195V231A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V2.31A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,3000,0
HP195V231A4530OR,CHAORDPOR,ORIGINAL HP CHARGEUR ORDINATEUR 19.5V2.31A 4.5*3.0 BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,5000,99
HP195V333A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V3.33A 4.5*3.0 BLEU,CHARGEUR ORDINATEUR PORTABLE,3000,213
HP195V333A4530OR,CHAORDPOR,ORIGINAL HP  CHARGEUR ORDI 19.5V3.33A 4.5*3.0 BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,5000,36
HP195V333A74,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V3.33A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,3000,172
HP195V462,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V4.62A 4.5*3.0 BLEU,CHARGEUR ORDINATEUR PORTABLE,3000,0
HP195V615A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V6.15A 4.5*3.0 BLEU,CHARGEUR ORDINATEUR PORTABLE,10000,77
HP195V77A,CHAORDPOR,ORIGINAL HP CHARGEUR ORDINATEUR 19.5V7.7A 4.5*3.0 PIN,CHARGEUR ORDINATEUR PORTABLE,10000,16
HP195V77A7450,CHAORDPOR,ORIGINAL HP CHARGEUR ORDINATEUR 19.5V7.7A 7.4*5.0 BLUE,CHARGEUR ORDINATEUR PORTABLE,15000,52
HP195V789A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19.5V7.89A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,15000,8
HP19V158,CHAORDPOR,HP CHARGEUR ORDINATEUR 19V1.58A 4.0*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,93
HP19V158A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19V1.58A 40PIN,CHARGEUR ORDINATEUR PORTABLE,10000,3
HP19V23174,CHAORDPOR,HP CHARGEUR ORDINATEUR 19V2.31A 7.4.5.0,CHARGEUR ORDINATEUR PORTABLE,3000,0
HP19V474,CHAORDPOR,HP CHARGEUR ORDINATEUR 19V4.74A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,3500,0
HP19V474A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19V4.74A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,0
HP19V474B,CHAORDPOR,HP CHARGEUR ORDINATEUR 19V4.74A 4.8*1.7 BULLET,CHARGEUR ORDINATEUR PORTABLE,3000,52
HP19V71A,CHAORDPOR,ORIGINAL HP CHARGEUR ORDINATEUR 19V7.1A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,10000,28
HP19V789A,CHAORDPOR,HP CHARGEUR ORDINATEUR HP 19V7.89A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,15000,41
HP19V79A7.4,CHAORDPOR,HP CHARGEUR ORDINATEUR 19V7.9A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,5000,16
HP19V95A,CHAORDPOR,HP CHARGEUR ORDINATEUR 19V9.5A 7.4*5.0,CHARGEUR ORDINATEUR PORTABLE,15000,24
HP45W,CHAORDPOR,HP CHARGEUR ORDINATEUR TYPE-C 45W / 20V3.25A /15V3A / 9V2A / 5V2A /,CHARGEUR ORDINATEUR PORTABLE,10000,0
HP65W,CHAORDPOR,HP CHARGEUR ORDINATEUR TYPE-C 65W / 20V3.25A /15V3A / 9V2A / 5V2A /,CHARGEUR ORDINATEUR PORTABLE,10000,0
HP90W,CHAORDPOR,ORIGINAL HP CHARGEUR ORD TYPE-C 90W,CHARGEUR ORDINATEUR PORTABLE,10000,1
KFD45WTYPEC,CHAORDPOR,KFD CHARGEUR ORDINATEUR TYPE-C 45W KFD,CHARGEUR ORDINATEUR PORTABLE,15000,1
KFD65WTYPEC,CHAORDPOR,KFD CHARGEUR ORDINATEUR TYPE-C 65W KFD,CHARGEUR ORDINATEUR PORTABLE,15000,0
LE12V3A,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 12V3A USB,CHARGEUR ORDINATEUR PORTABLE,5000,44
LE195V615AUSB,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 19.5V6.15A USB PIN,CHARGEUR ORDINATEUR PORTABLE,10000,86
LE195V675,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 19.5V6.75A USB PIN,CHARGEUR ORDINATEUR PORTABLE,10000,5
LE20V225,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V2.25A USB PIN,CHARGEUR ORDINATEUR PORTABLE,3000,38
LE20V225A,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V2.25A 4.0*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,0
LE20V225A4017OR,CHAORDPOR,ORIGINAL LENOVO CHARGEUR ORDINATEUR 20V2.25A 4.0*1.7 BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,5000,125
LE20V225A5525,CHAORDPOR,LENOVO CHARGEUR ORDIANTEUR 20V2.25A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,400
LE20V225A80,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V2.25A 7.9*5.5 / 8.0 PIN,CHARGEUR ORDINATEUR PORTABLE,3000,26
LE20V225AORI,CHAORDPOR,ORIGINAL LENOVO CHARGEUR ORDINATEUR 20V2.25A USB BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,5000,265
LE20V225YOGO,CHAORDPOR,LENOVO  CHARGEUR ORDINATEUR 20V2.25 YOGa / YOGA3 / 5/20V 2A /,CHARGEUR ORDINATEUR PORTABLE,5000,4
LE20V2A,CHAORDPOR,ORIGINAL LENOVO CHARGEUR ORDINATEUR 20V2A YOGA BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,15000,89
LE20V325,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V3.25A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,3000,302
LE20V325A,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V3.25A  7.9*5.5,CHARGEUR ORDINATEUR PORTABLE,3000,779
LE20V325A4017,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V3.25A 4.0*1.7,CHARGEUR ORDINATEUR PORTABLE,3000,1
LE20V325A4017OR,CHAORDPOR,ORIGINAL LENOVO CHARGEUR ORDINATEUR 20V3.25A 4.0*1.7 BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,5000,91
LE20V325A80,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V3.25A 8.0 PIN,CHARGEUR ORDINATEUR PORTABLE,3000,0
LE20V325AORI,CHAORDPOR,ORIGINAL LENOVO CHARGEUR ORDINATEUR 20V3.25A USB BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,5000,257
LE20V325AUSB,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V3.25A USB PIN,CHARGEUR ORDINATEUR PORTABLE,3000,412
LE20V325AYOGA,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V3.25A YOGA BLUE PACKING,CHARGEUR ORDINATEUR PORTABLE,15000,92
LE20V342,CHAORDPOR,LENOVO CHARGEUR ORDIANTEUR LE 20V3.42 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,60
LE20V45A,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V4.5A 7.9*5.5,CHARGEUR ORDINATEUR PORTABLE,3500,229
LE20V45A5525,CHAORDPOR,LENOVO CHARGEUR ORDINATEUR 20V4.5A 5.5*2.5,CHARGEUR ORDINATEUR PORTABLE,5000,0
